gene_id	TCGA-A7-A13F-01A-11R-A12P-07	TCGA-A7-A13F-11A-42R-A12P-07	TCGA-AO-A12B-01A-11R-A10J-07	TCGA-AR-A1AP-01A-11R-A12P-07	TCGA-AR-A1AS-01A-11R-A12P-07	TCGA-AR-A1AV-01A-21R-A12P-07	TCGA-AR-A1AW-01A-21R-A12P-07	TCGA-BH-A0DD-01A-31R-A12P-07	TCGA-BH-A0DD-11A-23R-A12P-07	TCGA-BH-A0DG-01A-21R-A12P-07	TCGA-BH-A0DG-11A-43R-A12P-07
RPS3A|6189	3722.49	6857.207	4825.8801	3922.6271	6897.7938	2943.7961	4805.9024	4440.4762	3797.9185	3514.0893	10143.5533
RPS4X|6191	23515.261	40329.1423	17740.9874	20246.9636	43317.4246	17076.0413	23070.7529	23318.6275	14393.7554	31263.2628	60860.9895
RPS4Y1|6192	3.6145	0	0	0	0	4553.9195	0	5359.944	3144.8395	0	0
RPS4Y2|140032	0	0	0	0	0	0	0	0	0	0	0
RPS5|6193	9546.5863	11780.8711	16392.0076	10433.1984	11325.529	6201.9247	8542.5653	11726.1905	5672.1596	11205.9801	13753.6962
RPS6|6194	16150.6024	34297.2609	25735.49	13225.3711	30690.6799	12723.9656	15964.8127	18244.7479	17130.5291	21043.2622	52476.749
RPS6KA1|6195	1090.7631	585.5411	1168.411	987.4044	1831.6074	1550.5535	1222.0961	384.1036	313.9636	890.5083	791.6082
RPS6KA2|6196	453.012	1707.2295	827.1487	853.3513	820.3512	1113.6109	581.1578	246.8487	2082.3938	1038.9264	1148.7569
RPS6KA3|6197	402.4096	1370.0045	514.6421	678.3626	353.4444	386.3371	1958.759	1053.9216	2171.7259	750.0115	2311.3901
RPS6KA4|8986	392.7711	428.379	252.458	929.3747	451.5984	224.6886	720.7719	279.0616	545.5334	544.0606	299.331
RPS6KA5|9252	98.3936	345.7566	145.8928	126.8556	239.0815	405.4226	221.3394	254.2017	105.8109	132.1588	626.7449
RPS6KA6|27330	72.2892	36.8208	38.059	109.3117	31.5173	86.7523	1.5134	298.3193	5.2038	90.0514	158.2556
RPS6KB1|6198	1180.3213	992.8154	869.0136	1046.7836	768.1225	1117.9485	945.8948	2306.0224	1094.9696	4174.4663	1179.8133
RPS6KB2|6199	448.5944	374.9439	423.7234	621.2326	639.3516	959.4809	620.8854	991.2465	407.1986	1042.6785	341.6206
RPS6KC1|26750	892.3695	575.2133	406.8083	520.018	826.2044	1179.2535	997.3515	1305.6723	713.7901	797.9555	605.9305
RPS6KL1|83694	87.9518	136.0575	104.4508	77.8228	53.5795	150.0815	93.076	63.3754	110.5811	19.5945	93.4996
RPS7|6201	3222.0884	6531.2079	3489.1638	4569.5007	5466.4566	2473.8875	4226.6364	3783.6134	3483.9549	3332.7358	8971.3389
RPS8|6202	17642.5703	21709.4746	19390.2104	13691.8578	18721.2967	9395.8567	11173.6663	20415.6162	10896.791	12941.1372	31017.0975
RPS9|6203	5662.6506	11722.4966	11802.5161	10271.7049	8506.0783	5080.217	8100.6432	8110.9944	7986.9905	9007.6419	15233.1709
RPSA|3921	5633.7349	5060.6197	4083.3069	5394.9618	9194.507	2365.7363	3951.9485	6328.4314	2997.8317	6136.4195	6914.0167
RPSAP52|204010	4.4177	0.449	1.2686	0	2.7015	2.8917	0.7567	1.4006	0.4337	1.6676	0.6608
RPSAP58|388524	10145.7831	8056.1293	6100.0106	6964.0126	10157.5867	3643.5983	5514.9451	8968.1373	3742.8448	7628.9382	9122.3259
RPSAP9|653162	26.506	17.0633	15.6465	19.7931	27.4651	8.9644	13.6209	16.1064	9.5403	22.9298	22.4663
RPTN|126638	0	0	0	0	56.7312	0	0	0	0	6.6705	0
RPTOR|57521	948.1928	819.0391	727.3496	1137.6518	635.2994	838.6059	1074.9149	785.7143	899.8222	1209.4362	775.4192
RPUSD1|113000	297.992	207.903	581.4568	585.2452	1003.1517	507.7904	238.3655	352.591	184.3018	353.5351	159.5771
RPUSD2|27079	216.4659	155.366	113.7541	164.1925	198.5592	187.6742	151.3432	156.8627	106.2446	153.8378	149.9959
RPUSD3|285367	548.996	482.2631	278.6764	453.4413	512.3818	315.7785	369.2773	341.7367	375.1084	550.3141	303.9564
RPUSD4|84881	347.7912	574.3152	555.2384	263.6077	472.3098	309.4167	361.7102	291.6667	677.7971	373.9635	561.3282
RQCD1|9125	208.8353	165.2447	168.3053	338.2816	210.7159	225.5561	279.9849	277.6611	155.2472	216.7904	207.4833
RRAD|6236	29.3173	66.9062	1.6915	120.108	11.2562	6.0727	6.0537	4.5518	48.1353	12.0902	26.7614
RRAGA|10670	1423.2932	2142.793	1759.1712	1053.5313	2063.9352	1434.0162	1080.5902	1281.1625	1985.2559	2254.6203	1844.2224
RRAGB|10325	354.6185	308.4868	208.9016	280.7018	271.4993	369.2758	369.6557	342.7871	290.5464	235.5511	453.6219
RRAGC|64121	378.2169	636.282	176.34	538.4615	369.6533	400.9693	453.0874	477.7486	1023.8248	597.0075	428.8428
RRAGD|58528	145.3815	754.3781	618.67	895.1867	149.4822	163.3836	325.7662	91.3866	932.784	223.044	579.4995
RRAS|6237	668.2731	1991.0193	656.3062	963.1129	730.7519	340.0692	372.6826	313.0252	2554.2064	747.9269	506.8142
